,prcp,et,disch,swe,stn_swe,gw
2008-03-31 00:00:00.000000000,246.50977045490288,18.118176265321818,,33.60904208694525,21.335483870967746,62.409354838709675
2008-04-30 00:00:00.000000000,166.70980912586396,29.985872566955486,,38.354516088970804,21.016666666666666,61.869
2008-05-31 00:00:00.000000000,140.9204467134544,58.889453531565366,,23.15986124172846,6.587096774193549,61.614193548387085
2008-06-30 00:00:00.000000000,87.64599861510736,78.92072526434018,,6.75510182003317,0.0,61.668
2008-07-31 00:00:00.000000000,3.8247366326417067,122.11295256989617,,0.4094039722118426,0.0,62.8316129032258
2008-08-31 00:00:00.000000000,71.9159333138198,103.57404082621704,,0.0032252190340882484,0.0,62.67774193548388
2008-09-30 00:00:00.000000000,31.431896145674525,49.32756984327189,,0.0,0.0,63.11533333333333
2008-10-31 00:00:00.000000000,109.38624691459405,11.165170234642012,,0.0,0.0,62.67709677419356
2008-11-30 00:00:00.000000000,246.26382896365868,2.294031092728113,,0.002348057190726368,0.05333333333333334,62.75
2008-12-31 00:00:00.000000000,307.5547864615834,3.483648025953087,,30.048279820415942,2.87741935483871,62.888709677419364
2009-01-31 00:00:00.000000000,235.51850381253342,3.0165345419648406,,7.961406466599003,8.348387096774196,63.22483870967742
2009-02-28 00:00:00.000000000,145.43624375710408,4.591779867504872,,9.201100571796086,8.753571428571428,63.1217857142857
2009-03-31 00:00:00.000000000,257.4574525457056,21.08327075501106,,22.45650492089907,15.535483870967742,63.23483870967742
2009-04-30 00:00:00.000000000,156.29836148475155,30.2575578579555,,12.129336588586925,13.403333333333332,63.053
2009-05-31 00:00:00.000000000,168.22238416257363,63.81484826309368,,3.62175592700075,1.1580645161290324,63.073870967741954
2009-06-30 00:00:00.000000000,56.48011751036746,88.93382505682848,,0.24220512245271658,0.0,63.00166666666667
2009-07-31 00:00:00.000000000,8.152826031027624,116.85422129672367,,0.003445120331866993,0.0,64.26645161290321
2009-08-31 00:00:00.000000000,13.81310837731012,93.47934877271928,,0.0,0.0,64.6825806451613
2009-09-30 00:00:00.000000000,67.96641541316245,52.32127436746854,,0.0,0.0,64.68233333333333
2009-10-31 00:00:00.000000000,197.19758773101492,13.589958572250962,,0.0014659131551064406,0.05483870967741936,64.17709677419356
2009-11-30 00:00:00.000000000,267.8815647871803,4.908992819566354,,0.08575421524115917,1.8299999999999994,64.24533333333333
2009-12-31 00:00:00.000000000,193.1616358590463,2.7246936591713995,,1.5841741418349096,3.8612903225806448,64.45258064516129
2010-01-31 00:00:00.000000000,206.37147693179696,2.1343545242673496,,2.3066501128777386,4.738709677419355,64.45290322580645
2010-02-28 00:00:00.000000000,126.96220411646539,6.784866710973876,,0.08482310807211627,4.989285714285714,64.36892857142858
2010-03-31 00:00:00.000000000,231.37335773569677,16.388693756694025,,0.2499166724093903,2.432258064516129,64.04032258064517
2010-04-30 00:00:00.000000000,203.19095843599789,40.501515970399495,,1.0281885132969364,1.2100000000000004,63.669
2010-05-31 00:00:00.000000000,199.9093601206464,65.20244998431804,,0.05072286480615188,0.0,63.47032258064516
2010-06-30 00:00:00.000000000,191.94228672656445,87.2496794601231,,0.002272313410380356,0.0,63.147666666666666
2010-07-31 00:00:00.000000000,12.87281072911183,120.46042905221475,,0.0,0.0,63.74741935483871
2010-08-31 00:00:00.000000000,1.1219229375029003,102.63404645442435,,0.0,0.0,64.37516129032257
2010-09-30 00:00:00.000000000,108.69656179489733,53.5405456031959,,0.0,0.0,63.42566666666666
2010-10-31 00:00:00.000000000,171.88261990020902,14.413777534145,,0.0,0.07419354838709677,62.934193548387114
2010-11-30 00:00:00.000000000,314.3515345172292,5.396306500145009,,8.846368079220927,1.1233333333333335,62.80533333333332
2010-12-31 00:00:00.000000000,371.0542003299889,3.7770375101935034,,11.134740378085121,4.638709677419355,62.55935483870966
2011-01-31 00:00:00.000000000,226.39570621895012,1.7448471383285389,,5.423641180076482,5.980645161290323,62.35999999999999
2011-02-28 00:00:00.000000000,177.93283558168497,10.489788481142284,,6.110432203709333,5.142857142857143,61.620357142857145
