time,prcp,et,disch,swe,stn_swe,gw,lwe_thickness
2008-01-31,334.10477913508953,4.429900293834336,153.0082250035206,65.74667627730922,11.374193548387092,63.44935483870967,94.10963822369618
2008-02-29,168.82015112381617,6.240034670993446,110.80320576875775,56.77526610366242,20.479310344827585,63.017931034482764,203.11660465066478
2008-03-31,246.50977045490288,18.118176265321818,139.3306724737363,33.60904208694525,21.335483870967746,62.409354838709675,212.5081348068003
2008-04-30,166.70980912586396,29.985872566955486,108.97953209811983,38.354516088970804,21.016666666666666,61.869,153.84723689620537
2008-05-31,140.9204467134544,58.889453531565366,238.13971679329867,23.15986124172846,6.587096774193549,61.614193548387085,97.51434710090203
2008-06-30,87.64599861510736,78.92072526434018,164.49135701753727,6.75510182003317,0.0,61.668,50.89278921698376
2008-07-31,3.8247366326417067,122.11295256989617,62.46583331184987,0.4094039722118426,0.0,62.8316129032258,-73.76031730110601
2008-08-31,71.9159333138198,103.57404082621704,37.56567357814006,0.0032252190340882484,0.0,62.67774193548388,-79.33708991641954
2008-09-30,31.431896145674525,49.32756984327189,32.0896424737246,0.0,0.0,63.11533333333333,-149.09946325952964
2008-10-31,109.38624691459405,11.165170234642012,35.343196544362655,0.0,0.0,62.67709677419356,-140.18518794114547
2008-11-30,246.26382896365868,2.294031092728113,90.51132911815988,0.002348057190726368,0.05333333333333334,62.75,-104.71540320451217
2008-12-31,307.5547864615834,3.483648025953087,88.45819321094173,30.048279820415942,2.87741935483871,62.888709677419364,-34.22315727705912
2009-01-31,235.51850381253342,3.0165345419648406,270.5249547246267,7.961406466599003,8.348387096774196,63.22483870967742,98.8080148792748
2009-02-28,145.43624375710408,4.591779867504872,77.58629248213886,9.201100571796086,8.753571428571428,63.1217857142857,36.17086280350728
2009-03-31,257.4574525457056,21.08327075501106,133.9899138668682,22.45650492089907,15.535483870967742,63.23483870967742,130.61471801464597
2009-04-30,156.29836148475155,30.2575578579555,156.10446216960364,12.129336588586925,13.403333333333332,63.053,98.79170190756365
2009-05-31,168.22238416257363,63.81484826309368,194.04088259287337,3.62175592700075,1.1580645161290324,63.073870967741954,64.57637351219698
2009-06-30,56.48011751036746,88.93382505682848,65.1412227077857,0.24220512245271658,0.0,63.00166666666667,-46.45074378485636
2009-07-31,8.152826031027624,116.85422129672367,33.41531294968831,0.003445120331866993,0.0,64.26645161290321,-83.62386833662944
2009-08-31,13.81310837731012,93.47934877271928,26.392165280731692,0.0,0.0,64.6825806451613,-170.66067237193542
2009-09-30,67.96641541316245,52.32127436746854,25.738849218503162,0.0,0.0,64.68233333333333,-159.7556120508428
2009-10-31,197.19758773101492,13.589958572250962,40.358299138616886,0.0014659131551064406,0.05483870967741936,64.17709677419356,-175.61505500013786
2009-11-30,267.8815647871803,4.908992819566354,97.91724785425039,0.08575421524115917,1.8299999999999994,64.24533333333333,-98.811890965056
2009-12-31,193.1616358590463,2.7246936591713995,111.9655472291643,1.5841741418349096,3.8612903225806448,64.45258064516129,-35.417669748615786
2010-01-31,206.37147693179696,2.1343545242673496,167.7178565886659,2.3066501128777386,4.738709677419355,64.45290322580645,50.43976683383032
2010-02-28,126.96220411646539,6.784866710973876,90.4722503966462,0.08482310807211627,4.989285714285714,64.36892857142858,54.354740308869324
2010-03-31,231.37335773569677,16.388693756694025,112.12587018922042,0.2499166724093903,2.432258064516129,64.04032258064517,41.20219156359478
2010-04-30,203.19095843599789,40.501515970399495,132.97787518151424,1.0281885132969364,1.2100000000000004,63.669,115.50139170353455
2010-05-31,199.9093601206464,65.20244998431804,128.4988524849475,0.05072286480615188,0.0,63.47032258064516,103.28261267607253
2010-06-30,191.94228672656445,87.2496794601231,158.37904416539928,0.002272313410380356,0.0,63.147666666666666,67.89218913977192
2010-07-31,12.87281072911183,120.46042905221475,40.92544160981527,0.0,0.0,63.74741935483871,-59.4469551348205
2010-08-31,1.1219229375029003,102.63404645442435,26.480342908762527,0.0,0.0,64.37516129032257,-140.58479327495053
2010-09-30,108.69656179489733,53.5405456031959,30.87018595879805,0.0,0.0,63.42566666666666,-172.01030421788647
2010-10-31,171.88261990020902,14.413777534145,41.38536810147615,0.0,0.07419354838709677,62.934193548387114,-166.1613668852563
2010-11-30,314.3515345172292,5.396306500145009,113.1278886895709,8.846368079220927,1.1233333333333335,62.80533333333332,-61.337990870427646
2010-12-31,371.0542003299889,3.7770375101935034,258.7011364204908,11.134740378085121,4.638709677419355,62.55935483870966,24.43044077818437
2011-01-31,226.39570621895012,1.7448471383285389,239.31207843870874,5.423641180076482,5.980645161290323,62.35999999999999,40.08905880366608
2011-02-28,177.93283558168497,10.489788481142284,94.69074828312179,6.110432203709333,5.142857142857143,61.620357142857145,55.747676829147785
2011-03-31,313.40678946345497,24.649608346555894,188.30933677086858,10.299194596053628,10.612903225806452,60.97290322580645,196.5776027387862
2011-04-30,297.093659407775,36.96252779977516,207.30760753751392,2.6684507244976956,9.57,60.115333333333325,191.70433905189083
2011-05-31,155.9617765073258,75.17313734749725,152.08636798319813,0.7857463819949844,1.5161290322580647,59.18032258064517,119.23672776882691
2011-06-30,71.22182672542,89.74455406288844,111.8653453791293,0.07395100108011447,0.0,58.752666666666656,64.38264712322658
2011-07-31,45.840094222180305,123.81042898076115,48.427554121939416,0.0008796051911149767,0.0,59.232580645161285,9.52856647762625
2011-08-31,2.131775339748261,108.67400636514,30.765976034761604,0.0,0.0,59.692580645161286,-91.30868393714385
2011-09-30,29.37027975650476,33.092364070618586,27.756914478209065,0.0,0.0,60.16033333333333,-93.58435783321815
